quarter_end,pe_ratio,pb_ratio,roe,roa,ev_ebitda,dividend_yield,revenue,ebitda,net_income,total_debt,equity,total_assets,current_assets,current_liabilities,inventory,current_ratio,quick_ratio,debt_to_equity,net_margin,asset_turnover,tax_provision,pre_tax_income
2021-06-30,9.08213,1.0467,0.11524876514252601,0.04436256103636211,10.91524,2.6772,24536000000,,41765000000,318569000000.0,362390000000.0,941447000000.0,151539000000.0,115929000000.0,36038000000.0,1.3071707683150895,0.9963080851210655,0.8790777891222163,1.7021926964460385,0.026062008801345165,-19916000000,59801000000
2021-09-30,-29.69951,0.93418,-0.03145420813492011,-0.012123867202769294,10.95074,8.80577,10884000000,,-11817000000,324124000000.0,375689000000.0,974689000000.0,166334000000.0,138664000000.0,39577000000.0,1.1995471066751284,0.9141305602030808,0.8627455155727211,-1.0857221609702314,0.011166638794528306,-9753000000,-21980000000
2021-12-31,4.82225,0.94123,0.19518405671734504,0.07815398719976649,2.24834,19.85185,331074000000,,76040000000,327818000000.0,389581000000.0,972951000000.0,168247000000.0,134913000000.0,40486000000.0,1.2470777463995315,0.9469880589713371,0.8414630076928803,0.2296767490047542,0.3402781846156692,-12762000000,110598000000
2022-03-31,9.62704,0.98643,0.10246395812026239,0.044842999933911575,5.13859,16.88445,141641000000,,44783000000,277418000000.0,437061000000.0,998662000000.0,199512000000.0,130222000000.0,48351000000.0,1.5320913516917265,1.1607946429942713,0.6347351971463937,0.31617257714927177,0.14183076956968424,-23598000000,68381000000
2022-06-30,37.1079,0.87194,0.023497524536637827,0.009655099656234262,7.25025,29.18604,29319000000,,9701000000,280637000000.0,412852000000.0,1004754000000.0,224785000000.0,171157000000.0,49822000000.0,1.3133263611771648,1.0222368936122974,0.6797520661157025,0.33087758791227534,0.029180276963316393,-26193000000,12296000000
2022-09-30,-46.56687,1.02667,-0.022047286189706097,-0.008704333381878355,-117.06316,50.77681,-884000000,,-8248000000,293403000000.0,374105000000.0,947574000000.0,159327000000.0,135807000000.0,52825000000.0,1.1731869491263336,0.7842158357080269,0.7842798144905841,9.330316742081449,-0.0009329086699297363,-20403000000,-14038000000
2022-12-31,2.21178,0.86659,0.3918081150431549,0.14617352763207875,1.32064,55.32837,471180000000,,142769000000,280703000000.0,364385000000.0,976709000000.0,163052000000.0,163731000000.0,45804000000.0,0.9958529539305324,0.7161014102399668,0.7703472975012693,0.3030030986035061,0.4824159498888615,-15799000000,208359000000
2023-03-31,7.88996,0.74922,0.09495916014922968,0.03914561654320508,3.87647,64.94627,139068000000,,38307000000,271031000000.0,403405000000.0,978577000000.0,157194000000.0,128450000000.0,40483000000.0,1.223775788244453,0.9086103542234333,0.6718583061687387,0.2754551730088877,0.14211247556400775,-18690000000,56997000000
2023-06-30,-40.61507,1.02236,-0.02517184599804986,-0.009461269976849117,7767.43425,40.42885,-25228000000,,-9371000000,279375000000.0,372281000000.0,990459000000.0,136816000000.0,151599000000.0,39241000000.0,0.9024861641567556,0.6436388102823897,0.7504411989867869,0.3714523545267163,-0.025471018992204626,-12766000000,-15295000000
2023-09-30,-205.17681,1.1522,-0.005615628790420398,-0.0021219000366651843,17.81943,15.13418,10988000000,,-2176000000,305451000000.0,387490000000.0,1025496000000.0,147311000000.0,154571000000.0,39510000000.0,0.9530312930627349,0.6974206028297676,0.7882809878964618,-0.19803421914816163,0.010714815074851584,-11026000000,-3916000000
2023-12-31,4.87751,1.25537,0.2573782497253753,0.09364080663210542,2.95752,14.00486,387166000000,,98406000000,303062000000.0,382340000000.0,1050888000000.0,157079000000.0,163928000000.0,37184000000.0,0.9582194622029183,0.7313881704162803,0.7926505204791546,0.25417004592345405,0.3684179474882195,-9833000000,139695000000
2024-03-31,20.22356,1.17467,0.05808422090056157,0.022308796468070595,7.9361,16.74936,117721000000,,23810000000,308955000000.0,409922000000.0,1067292000000.0,165964000000.0,153876000000.0,40849000000.0,1.0785567599885622,0.8130897605864462,0.7536921658266694,0.20225788092184063,0.11029877484324814,-10638000000,34448000000
2024-06-30,-18.62931,1.30416,-0.0700058504414424,-0.02486568280739935,83.4467,20.12444,4537000000,,-26325000000,331473000000.0,376040000000.0,1058688000000.0,159310000000.0,177972000000.0,40796000000.0,0.8951408086665318,0.6659137392398804,0.8814833528348048,-5.802292263610315,0.004285492987546851,338000000,-37301000000
2024-09-30,13.18869,1.17484,0.08907918684328432,0.03264928575338475,15.75435,18.90311,7324000000,,35191000000,322157000000.0,395053000000.0,1077849000000.0,167371000000.0,178932000000.0,40544000000.0,0.9353888628082176,0.7087999910580556,0.815477923215366,4.804888039322774,0.00679501488612969,-12225000000,47754000000
2024-12-31,107.64746,1.26919,0.011790027046588701,0.0038522506727880677,4.31006,21.45502,361247000000,,4333000000,373467000000.0,367514000000.0,1124797000000.0,135212000000.0,194808000000.0,41550000000.0,0.6940782719395507,0.48079134327132356,1.0161980223882627,0.011994563276650048,0.32116639713655,4804000000,9829000000
2025-03-31,13.55596,1.20458,0.08885999351111536,0.030783747895820918,7.72293,17.15872,123144000000,,35331000000,370314000000.0,397603000000.0,1147716000000.0,124853000000.0,173828000000.0,42779000000.0,0.7182559771728375,0.4721563844720068,0.9313662120255631,0.2869080101344767,0.1072948360047259,-18304000000,53635000000
2025-06-30,-47.26544,1.00664,-0.021297619106878853,-0.007283235026257777,48.26354,16.98904,-4016000000,,-8557000000,371437000000.0,401782000000.0,1174890000000.0,135859000000.0,179180000000.0,44927000000.0,0.7582263645496149,0.5074896751869629,0.924473968470464,2.130727091633466,-0.0034181923414106853,-9266000000,-17595000000
2025-09-30,66.76712,0.95416,0.01429072314871247,0.0050105689755601725,11.40397,16.51968,8778000000,,6073000000,376083000000.0,424961000000.0,1212038000000.0,149361000000.0,182367000000.0,46272000000.0,0.8190133083288095,0.5652831926828867,0.8849823866190074,0.6918432444748234,0.007242347187134397,-12104000000,8911000000
